,Country,YEAR1,GDPG,GDP,BB,INFL,SACW,GOVC,ETHNF,ASSAS,ICRGE,M2-1,SSA,EASIA,LPOP,EGYPT,CENTAM,FRZ,ARMS-1,DN1900,EDA,BEDA,MEDA,WBEDA,POPDEP
0,ALBANIA,1966-69,,,,,,,,,,,0,0,,,,,,0,,,,,
1,ALBANIA,1970-73,,,,,,,,,,,0,0,,,,,,0,,,,,
2,ALBANIA,1974-77,,,,,,,,,,,0,0,,,,,,0,,,,,
3,ALBANIA,1978-81,3.453839415193727,,,,,8.760232073770894,,,,,0,0,,,,,,0,,,,,
4,ALBANIA,1982-85,-0.9196453599835674,,,,,9.020989843075157,,,,,0,0,,,,,,0,,,,,
5,ALBANIA,1986-89,1.066947388438333,,,,,9.297871779576962,,,,,0,0,,,,,,0,,,,,
6,ALBANIA,1990-93,-11.701192315642617,,,89.8410955400533,,19.19047388171742,,,,,0,0,,,,,,0,,,,,
7,ALGERIA,1966-69,2.767257204668949,1548.0,-5.499533555069348,,0.0,15.593404060157251,,,,,0,0,,,,,,0,,,,,
8,ALGERIA,1970-73,2.3862649376194423,1826.0,-6.833651603845235,4.641260254718649,0.0,15.471667930072657,43.0,0.0,4.364583,49.102670906424535,0,0,16.48273182007767,0.0,0.0,0.0,2.967,0,1.0322863313632746,0.8427837403074557,0.18950259105581896,0.0,110.48199999999999
9,ALGERIA,1974-77,3.236683587741318,2256.0,3.6604878610677654,8.209326290346475,0.0,12.345353089102142,43.0,0.0,4.364583,61.46247165720403,0,0,16.605724293120108,0.0,0.0,0.0,1.95,0,0.5008870785008365,0.4339372113961287,0.06694986710470768,0.0012511697911461858,107.439
10,ALGERIA,1978-81,1.8193773526482993,2591.0,,12.4159976316914,0.0,13.769124880186087,43.0,0.0,4.364583,54.900950670642445,0,0,16.731001666653402,0.0,0.0,0.0,3.6,0,0.29974231092205855,0.2740727531027515,0.025669557819307104,-0.002790356301115363,101.73700000000001
11,ALGERIA,1982-85,2.6191369942919707,2823.0,,7.4743202771362816,0.0,15.0731392764905,43.0,0.0,4.364583,60.26676773337253,0,0,16.855435538798044,0.0,0.0,0.0,8.8,0,0.14667253613649103,0.12086023336615324,0.02581230277033782,-0.000422703415119787,97.2584
12,ALGERIA,1986-89,-1.8466916767256425,2970.0,,8.370376174218276,0.0,18.00199757857724,43.0,0.0,4.364583,71.99679247323782,0,0,16.967017192461622,0.0,0.0,0.0,7.525,0,0.17963804071996112,0.15590910687956794,0.023728933840393172,-0.013760425771721846,
13,ALGERIA,1990-93,-3.076470687914412,2777.0,,21.14746533078753,0.0,16.203189327060464,43.0,1.25,4.364583,82.30644114973238,0,0,17.06648177104317,0.0,0.0,0.0,8.675,0,0.23006701433234883,0.21119343265486182,0.01887358167748702,-0.016264954464213728,88.6716
14,ANGOLA,1966-69,,1066.0,,,0.0,,,,,,0,0,,,,,,0,,,,,
15,ANGOLA,1970-73,,1165.0,,,0.0,,,,,,0,0,,,,,,0,0.00456005159945857,0.00456005159945857,0.0,0.0,
16,ANGOLA,1974-77,,1110.0,,,0.0,,,,,,0,0,,,,,,0,0.462815691464581,0.17353823479627797,0.289277456668303,0.0,
